SHITOMASI + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Description Time, 0.260135,0.258164,0.276527,0.242257,0.231505,0.289802,0.248015,0.277688,0.283005,
Keypoints, 157,159,154,162,163,173,175,175,175,
Matches, 162,157,159,154,162,163,173,175,175,


AKAZE + SIFT
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 58.101040,59.958847,66.852594,66.455211,74.809513,57.461136,56.893954,57.783139,58.288755,
Description Time, 2.745607,2.678481,2.687456,2.903862,2.780020,2.770772,2.902262,2.852595,2.872342,
Keypoints, 157,159,154,162,163,173,175,175,175,
Matches, 162,157,159,154,162,163,173,175,175,


SIFT + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 71.853581,71.710207,72.515661,73.315791,73.703563,75.325921,74.450660,74.776954,73.101284,
Description Time, 0.213080,0.200979,0.206760,0.211753,0.213905,0.236193,0.223694,0.237906,0.228412,
Keypoints, 131,121,135,134,139,136,147,156,135,
Matches, 136,131,121,135,134,139,136,147,156,


SIFT + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 73.638416,73.012858,71.522710,70.877907,71.102410,74.330127,73.239702,72.534628,73.720946,
Description Time, 0.215537,0.190139,0.189330,0.233665,0.202754,0.228152,0.211923,0.223037,0.237459,
Keypoints, 131,121,135,134,139,136,147,156,135,
Matches, 137,131,121,135,134,139,136,147,156,


SIFT + FREAK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 73.332619,77.956458,76.268830,76.797907,76.586125,77.554920,77.393451,77.562440,76.841130,
Description Time, 0.214217,0.177450,0.209408,0.223988,0.196936,0.187571,0.254742,0.237345,0.229955,
Keypoints, 131,121,135,134,139,136,147,156,135,
Matches, 136,130,120,134,133,138,134,146,155,


SIFT + SIFT
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 74.380828,72.776957,72.099198,72.989371,73.096636,72.774972,72.360671,72.206188,72.638951,
Description Time, 2.706729,2.460119,2.628636,2.726227,2.708642,2.784956,2.964825,3.116671,2.870366,
Keypoints, 131,121,135,134,139,136,147,156,135,
Matches, 137,131,121,135,134,139,136,147,156,


